text,cleaned_text,polarity,subjectivity,sentiment,compound,positive,neutral,negative,text_length,word_count
@AltcoinDailyio The real diamond among memcoins is #opk. The super bullish narrative of this cycle. Who didn't buy it will bite the log! Remember this post later! #donaldtrump #memecoins #elonmusk https://t.co/B57OegQR06,the real diamond among memcoins is opk the super bullish narrative of this cycle who didn t buy it will bite the log remember this post later donaldtrump memecoins elonmusk,0.17777777777777778,0.32222222222222224,positive,0.743,0.189,0.811,0.0,172,30
"XMail on the horizon! Elon hints at a new email service with ""username@x.com (mailto:username@x.com)."" Potential features: cloud storage, AI sorting, native payments. #XMail #ElonMusk #EmailRevolution #SleekDesign #ModernEmail #EmailInnovation #TechNews #ElonMuskUpdates https://t.co/VsQWOyo0Ns",xmail on the horizon elon hints at a new email service with username com mailto username com potential features cloud storage ai sorting native payments xmail elonmusk emailrevolution sleekdesign modernemail emailinnovation technews elonmuskupdates,0.06818181818181818,0.7272727272727273,neutral,0.0,0.0,1.0,0.0,248,33
"🤣🤣🤣 Woefully out of touch ‘60 Minutes’ reporter #LesleyStahl admits worry about future of legacy media with Trump taking office again: ‘I’m very dark about it’ #DonaldTrump #ElonMusk #Presidentialelection
https://t.co/Xwp6X4WtwL",woefully out of touch 60 minutes reporter lesleystahl admits worry about future of legacy media with trump taking office again i m very dark about it donaldtrump elonmusk presidentialelection,-0.0975,0.3225,negative,-0.5267,0.069,0.755,0.176,191,29
"**Alert!**

Beware of fake messages! If you're receiving daily messages claiming to be from #ElonMusk, be cautious:

- Check if the profile is **#Verified**.
- Messages with errors or strange requests are **#Suspicious**.
- Legitimate communications come from **#Official**… https://t.co/Muhzboo5fp https://t.co/BUBAAODzO2",alert beware of fake messages if you re receiving daily messages claiming to be from elonmusk be cautious check if the profile is verified messages with errors or strange requests are suspicious legitimate communications come from official,-0.18333333333333335,0.3833333333333333,negative,-0.7906,0.05,0.698,0.252,239,37
"@henokcrypto Join us on our mission to mars 🪐 

@elonmusk already liked our first post 🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/UMrLvgVaCZ",join us on our mission to mars already liked our first post cyberdoge cybertruck elonmusk dogecoin,0.425,0.5666666666666667,positive,0.6124,0.263,0.737,0.0,98,16
"#DOGE #ElonMusk #XRegulation: Amidst regulatory scrutiny, Elon Musk defends his push for Dogecoin on X, arguing for a more crypto-friendly regulatory environment post-Trump's election. https://t.co/eqJjUddRz2",doge elonmusk xregulation amidst regulatory scrutiny elon musk defends his push for dogecoin on x arguing for a more crypto friendly regulatory environment post trump s election,0.4375,0.5,positive,0.1226,0.122,0.773,0.105,177,27
"@WatcherGuru Join us on our mission to mars 🪐 

@elonmusk already liked our first post 🔥

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/xRDx040YMf",join us on our mission to mars already liked our first post cyberdoge cybertruck elonmusk dogecoin,0.425,0.5666666666666667,positive,0.6124,0.263,0.737,0.0,98,16
"@Jeremyybtc @elonmusk Join us on our mission to mars 🪐 

#CyberDoge #CyberTruck #ElonMusk #DogeCoin

https://t.co/NtxAzJ0vE6 https://t.co/VOfhmSWEYS",join us on our mission to mars cyberdoge cybertruck elonmusk dogecoin,0.0,0.0,positive,0.296,0.18,0.82,0.0,69,11
"@CryptoVIPsignal Thanks. Hope luck one.
#retweet 

#Bitcoin #crypto #Btc   #cryptocurrency #Binance    #Airdrops #Giveaway #AirdropAlert #ElonMusk #FIRO #FreeCrypto https://t.co/p7SD2GJfRs",thanks hope luck one retweet bitcoin crypto btc cryptocurrency binance airdrops giveaway airdropalert elonmusk firo freecrypto,0.2,0.2,positive,0.8316,0.404,0.596,0.0,126,16
"Elon Musk confirms X is working on #XMail, aiming to challenge Gmail. Could this be the next big step in making X the everything app? #ElonMusk",elon musk confirms x is working on xmail aiming to challenge gmail could this be the next big step in making x the everything app elonmusk,0.0,0.05,positive,0.0772,0.053,0.947,0.0,138,26
